player,team,fantasy_pos,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost
Justin Herbert,LAC,QB,17,332,504,3870,23,3,69,306,2,0,0,0,0,2
DeVonta Smith,PHI,WR,13,0,0,0,0,0,1,1,0,89,68,833,8,0
Jakobi Meyers,LVR,WR,15,0,0,0,0,0,2,23,0,129,87,1027,4,0
Patrick Mahomes,KAN,QB,16,392,581,3928,26,11,58,307,2,1,1,2,0,0
Brock Purdy,SFO,QB,15,300,455,3864,20,12,66,323,5,0,0,0,0,3
Geno Smith,SEA,QB,17,407,578,4320,21,15,53,272,2,0,0,0,0,0
Aaron Rodgers,NYJ,QB,17,368,584,3897,28,11,22,107,0,0,0,0,0,2
Caleb Williams,CHI,QB,17,351,562,3541,20,6,81,489,0,0,0,0,0,5
Jordan Love,GNB,QB,15,268,425,3389,25,11,25,83,1,0,0,0,0,0
C.J. Stroud,HOU,QB,17,336,532,3727,20,12,52,233,0,1,0,0,0,4
Matthew Stafford,LAR,QB,16,340,517,3762,20,8,30,41,0,0,0,0,0,2
Bryce Young,CAR,QB,14,234,384,2403,15,9,43,249,6,0,0,0,0,2
Tua Tagovailoa,MIA,QB,11,291,399,2867,19,7,17,49,0,0,0,0,0,2
Drake Maye,NWE,QB,13,225,338,2276,15,10,54,421,2,0,0,0,0,6
Kirk Cousins,ATL,QB,14,303,453,3508,18,16,23,0,0,0,0,0,0,2
Russell Wilson,PIT,QB,11,214,336,2482,16,5,43,155,2,0,0,0,0,4
Anthony Richardson,IND,QB,11,126,264,1814,8,12,86,499,6,1,1,-1,0,3
Derek Carr,NOR,QB,10,189,279,2145,15,5,17,71,1,0,0,0,0,0
Rachaad White,TAM,RB,16,0,0,0,0,0,144,613,3,57,51,393,6,3
Zach Charbonnet,SEA,RB,17,0,0,0,0,0,135,569,8,52,42,340,1,0
Trevor Lawrence,JAX,QB,10,172,284,2045,11,7,26,119,3,0,0,-5,0,1
Tyrone Tracy Jr.,NYG,RB,17,0,0,0,0,0,192,839,5,53,38,284,1,2
Rhamondre Stevenson,NWE,RB,15,0,0,0,0,0,207,801,7,41,33,168,1,3
Brian Robinson Jr.,WAS,RB,14,0,0,0,0,0,187,799,8,25,20,159,0,2
Daniel Jones,NYG,QB,10,216,341,2070,8,7,67,265,2,0,0,0,0,2
Kenneth Walker III,SEA,RB,11,0,0,0,0,0,153,573,7,53,46,299,1,0
Kareem Hunt,KAN,RB,13,0,0,0,0,0,200,728,7,32,23,176,0,0
Jameis Winston,CLE,QB,12,181,296,2121,13,12,25,83,1,0,0,0,0,2
Rashod Bateman,BAL,WR,17,0,0,0,0,0,0,0,0,72,45,756,9,0
Darnell Mooney,ATL,WR,16,0,1,0,0,0,0,0,0,106,64,992,5,0
Puka Nacua,LAR,WR,11,0,0,0,0,0,11,46,1,106,79,990,3,0
Xavier Worthy,KAN,WR,17,0,0,0,0,0,20,104,3,98,59,638,6,0
D.K. Metcalf,SEA,WR,15,0,0,0,0,0,0,0,0,108,66,992,5,2
Alec Pierce,IND,WR,16,0,0,0,0,0,0,0,0,69,37,824,7,0
Tank Bigsby,JAX,RB,16,0,0,0,0,0,168,766,7,12,7,54,0,1
Quentin Johnston,LAC,WR,15,0,0,0,0,0,3,6,0,91,55,711,8,0
Will Levis,TEN,QB,12,190,301,2091,13,12,45,183,0,0,0,0,0,6
Justin Fields,PIT,QB,10,106,161,1106,5,1,62,289,5,0,0,0,0,1
Dak Prescott,DAL,QB,8,185,286,1978,11,8,13,54,1,0,0,0,0,1
Keenan Allen,CHI,WR,15,0,1,0,0,1,0,0,0,121,70,744,7,0
Josh Downs,IND,WR,14,0,0,0,0,0,1,12,0,107,72,803,5,0
Cooper Rush,DAL,QB,12,187,308,1844,12,5,26,18,0,0,0,0,0,3
Cooper Kupp,LAR,WR,12,0,0,0,0,0,2,10,0,100,67,710,6,0
Khalil Shakir,BUF,WR,15,0,0,0,0,0,2,4,0,100,76,821,4,0
Javonte Williams,DEN,RB,17,0,0,0,0,0,139,513,4,70,52,346,0,2
George Pickens,PIT,WR,14,0,0,0,0,0,2,-6,0,103,59,900,3,1
Jordan Mason,SFO,RB,12,0,0,0,0,0,153,789,3,14,11,91,0,1
Nick Westbrook-Ikhine,TEN,WR,17,0,0,0,0,0,0,0,0,60,32,497,9,0
Deebo Samuel,SFO,WR,15,0,0,0,0,0,42,136,1,81,51,670,3,1
Jalen Tolbert,DAL,WR,17,0,0,0,0,0,0,0,0,79,49,610,7,0
Alexander Mattison,LVR,RB,14,0,0,0,0,0,132,420,4,48,36,294,1,1
Ray Davis,BUF,RB,17,0,0,0,0,0,113,442,3,19,17,189,3,0
Joe Flacco,IND,QB,8,162,248,1761,12,7,9,26,0,0,0,0,0,4
Jalen McMillan,TAM,WR,13,0,0,0,0,0,4,43,0,58,37,461,8,0
Austin Ekeler,WAS,RB,12,0,0,0,0,0,77,367,4,41,35,366,0,0
Jerome Ford,CLE,RB,14,0,0,0,0,0,104,565,3,43,37,225,0,0
Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,0,0,0,111,69,808,3,1
Mac Jones,JAX,QB,10,171,262,1672,8,8,28,92,1,0,0,0,0,2
Gardner Minshew II,LVR,QB,10,203,306,2013,9,10,19,58,0,0,0,0,0,4
Mason Rudolph,TEN,QB,8,146,228,1530,9,9,25,106,1,0,0,0,0,1
Tyler Allgeier,ATL,RB,17,0,0,0,0,0,137,644,3,13,13,88,0,0
Aidan O'Connell,LVR,QB,9,154,243,1612,8,4,21,30,1,0,0,0,0,2
Demarcus Robinson,LAR,WR,17,0,0,0,0,0,0,0,0,64,31,505,7,0
Adam Thielen,CAR,WR,10,0,0,0,0,0,0,0,0,62,48,615,5,0
Jaylen Waddle,MIA,WR,15,0,0,0,0,0,4,12,0,83,58,744,2,0
Travis Etienne,JAX,RB,15,0,0,0,0,0,150,558,2,52,39,254,0,1
DeAndre Hopkins,2TM,WR,16,0,0,0,0,0,0,0,0,80,56,610,5,0
Marvin Mims,DEN,WR,17,0,0,0,0,0,13,42,0,52,39,503,6,0
Rome Odunze,CHI,WR,17,0,0,0,0,0,3,15,0,101,54,734,3,1
Wan'Dale Robinson,NYG,WR,17,0,0,0,0,0,3,18,0,140,93,699,3,0
Tank Dell,HOU,WR,14,0,0,0,0,0,9,43,0,81,51,667,3,0
Allen Lazard,NYJ,WR,12,0,1,0,0,0,0,0,0,60,37,530,6,0
Chris Godwin,TAM,WR,7,0,0,0,0,0,1,2,0,62,50,576,5,0
Romeo Doubs,GNB,WR,13,0,0,0,0,0,0,0,0,72,46,601,4,0
Jaylen Warren,PIT,RB,15,0,0,0,0,0,120,511,1,47,38,310,0,1
Ameer Abdullah,LVR,RB,16,0,0,0,0,0,66,311,2,47,40,261,3,1
Justice Hill,BAL,RB,15,0,0,0,0,0,47,228,1,51,42,383,3,0
David Njoku,CLE,TE,11,0,0,0,0,0,0,0,0,97,64,505,5,0
Emanuel Wilson,GNB,RB,17,0,0,0,0,0,103,502,4,14,11,48,1,0
Andrei Iosivas,CIN,WR,17,0,0,0,0,0,0,0,0,61,36,479,6,0
Kyle Pitts,ATL,TE,17,0,0,0,0,0,0,0,0,74,47,602,4,0
Tyjae Spears,TEN,RB,12,0,0,0,0,0,84,312,4,35,30,224,1,0
Calvin Austin III,PIT,WR,17,0,0,0,0,0,0,0,0,58,36,548,4,1
Keon Coleman,BUF,WR,13,0,0,0,0,0,1,9,0,57,29,556,4,0
DeMario Douglas,NWE,WR,17,0,0,0,0,0,3,16,0,87,66,621,3,0
Isaiah Likely,BAL,TE,16,0,0,0,0,0,0,0,0,58,42,477,6,1
Cade Otton,TAM,TE,14,0,0,0,0,0,1,-4,0,87,59,600,4,1
Tre Tucker,LVR,WR,17,0,0,0,0,0,9,44,1,81,47,539,3,0
Antonio Gibson,NWE,RB,17,0,0,0,0,0,120,538,1,29,23,206,0,0
Drew Lock,NYG,QB,8,107,181,1071,6,5,18,133,2,0,0,0,0,2
Cam Akers,2TM,RB,17,0,0,0,0,0,104,444,2,18,14,68,3,1
Kayshon Boutte,NWE,WR,15,0,0,0,0,0,0,0,0,68,43,589,3,0
Amari Cooper,2TM,WR,14,0,0,0,0,0,0,0,0,85,44,547,4,0
Isaac Guerendo,SFO,RB,16,0,0,0,0,0,84,420,4,16,15,152,0,1
Hunter Henry,NWE,TE,16,0,0,0,0,0,0,0,0,97,66,674,2,0
Taysom Hill,NOR,TE,8,2,4,21,0,1,39,278,6,31,23,187,0,1
Ray-Ray McCloud,ATL,WR,17,0,0,0,0,0,10,79,0,87,62,686,1,2
Michael Wilson,ARI,WR,16,0,0,0,0,0,1,7,0,71,47,548,4,1
Mike Gesicki,CIN,TE,17,0,0,0,0,0,0,0,0,83,65,665,2,1
Deshaun Watson,CLE,QB,7,137,216,1148,5,3,31,148,1,0,0,0,0,3
Xavier Legette,CAR,WR,16,0,0,0,0,0,6,24,0,84,49,497,4,0
Devin Singletary,NYG,RB,15,0,0,0,0,0,113,437,4,24,21,119,0,2
Christian Watson,GNB,WR,15,0,0,0,0,0,4,23,0,53,29,620,2,1
Stefon Diggs,HOU,WR,8,1,1,13,0,0,3,8,1,64,47,496,3,0
Jalen Nailor,MIN,WR,17,0,0,0,0,0,3,-4,0,42,28,414,6,1
Ty Johnson,BUF,RB,17,0,0,0,0,0,41,213,1,25,18,284,3,0
Noah Gray,KAN,TE,17,0,0,0,0,0,1,-4,0,49,40,437,5,0
Juwan Johnson,NOR,TE,17,0,0,0,0,0,0,0,0,66,50,548,3,0
Cole Kmet,CHI,TE,17,0,0,0,0,0,0,0,0,55,47,474,4,0
Jaleel McLaughlin,DEN,RB,16,0,0,0,0,0,113,496,1,27,24,76,2,1
KaVontae Turpin,DAL,WR,17,0,0,0,0,0,16,92,0,52,31,420,2,1
Tyler Lockett,SEA,WR,17,0,0,0,0,0,0,0,0,74,49,600,2,0
Dontayvion Wicks,GNB,WR,17,0,0,0,0,0,0,0,0,76,39,415,5,0
Tyler Conklin,NYJ,TE,16,0,0,0,0,0,1,0,0,72,51,449,4,0
Foster Moreau,NOR,TE,17,0,0,0,0,0,0,0,0,43,32,413,5,0
Darius Slayton,NYG,WR,16,0,0,0,0,0,2,17,0,71,39,573,2,0
Mack Hollins,BUF,WR,17,0,0,0,0,0,0,0,0,50,31,378,5,0
Josh Palmer,LAC,WR,15,0,0,0,0,0,0,0,0,65,39,584,1,0
Spencer Rattler,NOR,QB,7,130,228,1317,4,5,18,146,0,0,0,0,0,3
Olamide Zaccheaus,WAS,WR,17,0,0,0,0,0,1,8,0,64,45,506,3,1
Braelon Allen,NYJ,RB,17,0,0,0,0,0,92,334,2,27,19,148,1,0
Marquez Valdes-Scantling,2TM,WR,14,0,0,0,0,0,1,4,0,44,19,411,4,0
Devaughn Vele,DEN,WR,13,0,0,0,0,0,0,0,0,55,41,475,3,0
Dalton Schultz,HOU,TE,17,0,0,0,0,0,0,0,0,85,53,532,2,0
Parker Washington,JAX,WR,17,0,0,0,0,0,0,0,0,51,32,390,3,0
Austin Hooper,NWE,TE,17,0,0,0,0,0,0,0,0,59,45,476,3,1
Ricky Pearsall,SFO,WR,11,0,1,0,0,0,3,45,0,46,31,400,3,0
Dallas Goedert,PHI,TE,10,0,0,0,0,0,0,0,0,52,42,496,2,0
Chig Okonkwo,TEN,TE,17,0,0,0,0,0,1,17,0,70,52,479,2,1
Jalen Coker,CAR,WR,11,1,1,19,0,0,0,0,0,46,32,478,2,0
Gus Edwards,LAC,RB,11,0,0,0,0,0,101,365,4,5,3,6,0,0
Tyler Huntley,MIA,QB,5,86,133,829,3,3,26,135,2,0,0,0,0,2
Roschon Johnson,CHI,RB,14,0,0,0,0,0,55,150,6,20,16,104,0,0
Will Dissly,LAC,TE,15,0,0,0,0,0,0,0,0,64,50,481,2,0
Elijah Moore,CLE,WR,17,0,0,0,0,0,1,1,0,102,61,538,1,0
Rashid Shaheed,NOR,WR,6,0,0,0,0,0,6,29,0,41,20,349,3,1
Sean Tucker,TAM,RB,17,0,0,0,0,0,50,308,2,12,9,109,1,0
Andy Dalton,CAR,QB,6,106,160,989,7,6,11,34,0,0,0,0,0,0
Zack Moss,CIN,RB,8,0,0,0,0,0,74,242,2,27,23,187,1,1
Tim Patrick,DET,WR,16,0,0,0,0,0,0,0,0,44,33,394,3,0
Nick Chubb,CLE,RB,8,0,0,0,0,0,102,332,3,11,5,31,1,1
Tutu Atwell,LAR,WR,17,0,1,0,0,0,2,7,0,62,42,562,0,0
Dalton Kincaid,BUF,TE,13,0,0,0,0,0,0,0,0,75,44,448,2,0
Noah Fant,SEA,TE,14,0,0,0,0,0,0,0,0,64,48,500,1,0
Diontae Johnson,3TM,WR,12,0,0,0,0,0,2,6,0,67,33,375,3,0
Jeremy McNichols,WAS,RB,17,0,0,0,0,0,55,261,4,12,9,27,0,0
Greg Dortch,ARI,WR,17,0,0,0,0,0,5,31,0,50,37,342,3,1
David Moore,CAR,WR,17,0,0,0,0,0,1,0,0,57,32,351,3,0
Samaje Perine,KAN,RB,17,0,0,0,0,0,20,92,1,35,28,322,1,0
Miles Sanders,CAR,RB,11,0,0,0,0,0,55,205,2,30,24,148,1,0
Raheem Mostert,MIA,RB,13,0,0,0,0,0,85,278,2,23,19,161,0,2
Malik Willis,GNB,QB,7,40,54,550,3,0,20,138,1,0,0,0,0,1
Jordan Akins,CLE,TE,17,0,0,0,0,0,0,0,0,58,40,390,2,0
Noah Brown,WAS,WR,11,0,0,0,0,0,0,0,0,56,35,453,1,0
Brenton Strange,JAX,TE,17,0,0,0,0,0,0,0,0,53,40,411,2,1
Cedric Tillman,CLE,WR,11,0,0,0,0,0,1,-5,0,49,29,339,3,1
AJ Barner,SEA,TE,17,0,0,0,0,0,0,0,0,38,30,245,4,0
Sterling Shepard,TAM,WR,14,0,0,0,0,0,8,69,0,51,32,334,1,0
Kenneth Gainwell,PHI,RB,17,0,0,0,0,0,75,290,1,22,16,116,0,0
Ezekiel Elliott,DAL,RB,15,0,0,0,0,0,74,226,3,15,12,69,0,1
T.J. Hockenson,MIN,TE,10,0,0,0,0,0,0,0,0,62,41,455,0,0
Marcus Mariota,WAS,QB,3,34,44,364,4,0,18,92,1,0,0,0,0,0
Jacoby Brissett,NWE,QB,8,95,161,826,2,1,15,62,0,0,0,0,0,1
Jake Ferguson,DAL,TE,14,0,0,0,0,0,0,0,0,86,59,494,0,2
Chris Olave,NOR,WR,8,0,0,0,0,0,1,7,0,44,32,400,1,1
Isiah Pacheco,KAN,RB,7,0,0,0,0,0,83,310,1,16,12,79,0,0
Brandin Cooks,DAL,WR,10,0,0,0,0,0,3,-3,0,54,26,259,3,0
Audric Estime,DEN,RB,13,0,0,0,0,0,76,310,2,5,5,27,0,1
Christian Kirk,JAX,WR,8,0,0,0,0,0,0,0,0,47,27,379,1,0
Josh Oliver,MIN,TE,15,0,0,0,0,0,0,0,0,28,22,258,3,0
Michael Penix,ATL,QB,5,61,105,775,3,3,7,11,1,0,0,0,0,0
Evan Engram,JAX,TE,9,0,0,0,0,0,0,0,0,64,47,365,1,1
Dameon Pierce,HOU,RB,11,0,0,0,0,0,40,293,2,4,2,2,0,0
Trey Benson,ARI,RB,13,0,0,0,0,0,63,291,1,6,6,59,0,0
Rashee Rice,KAN,WR,4,0,0,0,0,0,1,1,0,29,24,288,2,0
Justin Watson,KAN,WR,17,0,0,0,0,0,0,0,0,32,22,289,2,0
Van Jefferson,PIT,WR,17,0,0,0,0,0,0,0,0,40,24,276,2,0
Kalif Raymond,DET,WR,12,0,0,0,0,0,2,0,0,22,17,215,2,0
Ja'Tavion Sanders,CAR,TE,16,0,0,0,0,0,0,0,0,43,33,342,1,0
Tyler Boyd,TEN,WR,16,0,1,0,0,0,1,3,0,57,39,390,0,0
Emari Demercado,ARI,RB,13,0,0,0,0,0,24,223,1,20,16,104,0,0
Troy Franklin,DEN,WR,16,0,0,0,0,0,2,8,0,53,28,263,2,0
Theo Johnson,NYG,TE,12,0,0,0,0,0,0,0,0,43,29,331,1,0
Kyle Juszczyk,SFO,FB,17,0,0,0,0,0,5,26,1,31,19,200,2,1
Trey Sermon,IND,RB,17,0,0,0,0,0,56,159,2,19,16,99,0,0
Brandon Aiyuk,SFO,WR,7,0,0,0,0,0,0,0,0,47,25,374,0,0
Kendrick Bourne,NWE,WR,12,0,1,0,0,0,1,6,0,38,28,305,1,0
Dyami Brown,WAS,WR,16,0,1,0,0,0,3,26,0,40,30,308,1,1
Isaiah Davis,NYJ,RB,17,0,0,0,0,0,30,174,1,12,9,75,1,0
Dawson Knox,BUF,TE,16,0,0,0,0,0,0,0,0,33,22,311,1,0
Dare Ogunbowale,HOU,RB,17,0,0,0,0,0,30,112,0,28,19,198,1,0
Grant Calcaterra,PHI,TE,17,0,0,0,0,0,0,0,0,30,24,298,1,0
Mike Williams,2TM,WR,18,0,0,0,0,0,0,0,0,34,21,298,1,0
Nelson Agholor,BAL,WR,14,0,0,0,0,0,0,0,0,29,14,231,2,0
Tyler Johnson,LAR,WR,15,0,0,0,0,0,0,0,0,41,26,291,1,0
Colby Parkinson,LAR,TE,17,0,0,0,0,0,0,0,0,49,30,294,1,0
JuJu Smith-Schuster,KAN,WR,14,0,0,0,0,0,0,0,0,26,18,231,2,0
Gabe Davis,JAX,WR,10,0,0,0,0,0,0,0,0,42,20,239,2,1
Tyler Goodson,IND,RB,16,0,0,0,0,0,32,153,1,15,11,61,1,0
Lil'Jordan Humphrey,DEN,WR,17,0,0,0,0,0,0,0,0,45,31,293,1,1
Christian McCaffrey,SFO,RB,4,0,0,0,0,0,50,202,0,19,15,146,0,1
Curtis Samuel,BUF,WR,14,0,0,0,0,0,5,14,0,46,31,253,1,0
Tommy Tremble,CAR,TE,12,0,0,0,0,0,0,0,0,32,23,234,2,1
Josh Whyle,TEN,TE,17,0,0,0,0,0,0,0,0,37,28,248,1,0
Nick Vannett,TEN,TE,17,0,0,0,0,0,0,0,0,20,17,135,3,0
Chris Brooks,GNB,RB,15,0,0,0,0,0,36,183,1,13,11,69,0,0
Joshua Dobbs,SFO,QB,2,32,47,361,2,2,9,24,2,0,0,0,0,1
John Metchie,HOU,WR,13,0,0,0,0,0,0,0,0,37,24,254,1,0
Adonai Mitchell,IND,WR,17,1,1,24,0,0,4,6,0,55,23,312,0,1
Chris Rodriguez,WAS,RB,9,0,0,0,0,0,35,173,2,1,1,12,0,0
Adam Trautman,DEN,TE,17,0,0,0,0,0,0,0,0,22,13,188,2,0
DJ Turner,LVR,WR,12,0,0,0,0,0,5,33,1,29,16,158,1,0
Jordan Whittington,LAR,WR,15,0,0,0,0,0,2,12,0,28,22,293,0,0
Nate Adkins,DEN,TE,17,0,0,0,0,0,0,0,0,15,14,115,3,0
Hassan Haskins,LAC,RB,17,0,0,0,0,0,34,89,2,3,3,49,1,1
Luke Schoonmaker,DAL,TE,17,0,0,0,0,0,0,0,0,36,27,241,1,0
Cedrick Wilson Jr.,NOR,WR,15,1,1,21,1,0,0,0,0,27,20,211,1,1
Elijah Higgins,ARI,TE,17,0,0,0,0,0,0,0,0,24,20,172,2,0
Tanner McKee,PHI,QB,2,30,45,323,4,0,5,-1,0,0,0,0,0,0
Malik Washington,MIA,WR,14,0,0,0,0,0,5,25,1,36,26,223,0,1
Kimani Vidal,LAC,RB,10,0,0,0,0,0,43,155,0,9,5,62,1,0
Jamaal Williams,NOR,RB,14,0,0,0,0,0,48,164,1,11,9,57,0,0
Blake Corum,LAR,RB,17,0,0,0,0,0,58,207,0,8,7,58,0,0
Derius Davis,LAC,WR,15,0,0,0,0,0,12,39,0,17,13,112,2,0
D'Onta Foreman,CLE,RB,11,0,0,0,0,0,71,232,0,8,6,54,0,1
Patrick Taylor,SFO,RB,13,0,0,0,0,0,39,183,1,11,3,25,0,0
Johnny Mundt,MIN,TE,17,0,0,0,0,0,0,0,0,27,19,142,2,0
Cordarrelle Patterson,PIT,RB,13,0,0,0,0,0,32,135,0,14,12,80,1,1
Darnell Washington,PIT,TE,17,0,0,0,0,0,0,0,0,25,19,200,1,0
Michael Carter,ARI,RB,3,0,0,0,0,0,35,131,1,11,11,57,0,0
KhaDarel Hodge,ATL,WR,17,0,0,0,0,0,0,0,0,12,7,131,1,0
Ryan Miller,TAM,WR,11,0,0,0,0,0,0,0,0,20,12,128,2,0
Kenny Pickett,PHI,QB,5,25,42,291,2,1,9,15,1,0,0,0,0,0
Josh Reynolds,2TM,WR,9,0,0,0,0,0,0,0,0,24,13,194,1,0
Tylan Wallace,BAL,WR,17,0,0,0,0,0,0,0,0,12,11,193,1,0
Jalen Brooks,DAL,WR,14,0,0,0,0,0,0,0,0,30,12,177,1,0
Payne Durham,TAM,TE,16,0,0,0,0,0,0,0,0,14,11,115,2,0
D'Ernest Johnson,JAX,RB,14,0,0,0,0,0,32,143,0,19,12,96,0,0
Kendre Miller,NOR,RB,6,0,0,0,0,0,39,148,1,8,5,33,0,0
Jaylen Wright,MIA,RB,15,0,0,0,0,0,68,249,0,6,3,8,0,1
Jahan Dotson,PHI,WR,17,0,0,0,0,0,1,13,0,33,19,216,0,0
Trey Palmer,TAM,WR,15,0,0,0,0,0,0,0,0,22,12,172,1,0
Zamir White,LVR,RB,8,0,0,0,0,0,65,183,1,8,6,30,0,2
Ty Chandler,MIN,RB,17,0,0,0,0,0,56,182,0,6,6,42,0,0
